,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0020900051,1610612764,Wizards,WAS,Washington,240:00,0.797,0.203,0.511,0.267,0.133,0.1,0.356,0.056,0.244,0.348,0.652,1.0,0.0,0.444,0.556
1,0020900052,1610612743,Nuggets,DEN,Denver,240:00,0.817,0.183,0.486,0.27,0.216,0.171,0.297,0.153,0.216,0.37,0.63,1.0,0.0,0.514,0.486
0,0020900052,1610612754,Pacers,IND,Indiana,240:00,0.758,0.242,0.71,0.258,0.097,0.237,0.194,0.194,0.452,0.303,0.697,1.0,0.0,0.361,0.639
1,0020900053,1610612738,Celtics,BOS,Boston,240:00,0.722,0.278,0.514,0.152,0.4,0.133,0.086,0.181,0.362,0.519,0.481,0.929,0.071,0.659,0.341
0,0020900053,1610612755,76ers,PHI,Philadelphia,240:00,0.8,0.2,0.757,0.324,0.041,0.176,0.203,0.189,0.432,0.5,0.5,1.0,0.0,0.517,0.483
0,0020900054,1610612753,Magic,ORL,Orlando,240:00,0.557,0.443,0.475,0.175,0.375,0.163,0.15,0.15,0.3,0.474,0.526,0.9,0.1,0.621,0.379
1,0020900054,1610612765,Pistons,DET,Detroit,240:00,0.917,0.083,0.635,0.329,0.0,0.118,0.365,0.2,0.306,0.296,0.704,0.0,0.0,0.296,0.704
1,0020900055,1610612748,Heat,MIA,Miami,240:00,0.733,0.267,0.563,0.146,0.281,0.167,0.156,0.229,0.417,0.519,0.481,0.889,0.111,0.611,0.389
0,0020900055,1610612756,Suns,PHX,Phoenix,240:00,0.701,0.299,0.577,0.154,0.26,0.154,0.163,0.125,0.423,0.5,0.5,0.667,0.333,0.538,0.462
1,0020900056,1610612741,Bulls,CHI,Chicago,240:00,0.851,0.149,0.578,0.289,0.181,0.12,0.241,0.084,0.289,0.542,0.458,1.0,0.0,0.621,0.379
0,0020900056,1610612749,Bucks,MIL,Milwaukee,240:00,0.78,0.22,0.79,0.395,0.148,0.185,0.062,0.284,0.395,0.5,0.5,1.0,0.0,0.556,0.444
1,0020900057,1610612747,Lakers,LAL,Los Angeles,265:00,0.849,0.151,0.653,0.257,0.149,0.109,0.198,0.257,0.396,0.455,0.545,0.8,0.2,0.5,0.5
0,0020900057,1610612760,Thunder,OKC,Oklahoma City,265:00,0.739,0.261,0.653,0.245,0.184,0.163,0.163,0.235,0.408,0.531,0.469,1.0,0.0,0.605,0.395
1,0020900058,1610612742,Mavericks,DAL,Dallas,240:00,0.791,0.209,0.563,0.125,0.219,0.229,0.219,0.135,0.438,0.444,0.556,0.857,0.143,0.529,0.471
0,0020900058,1610612762,Jazz,UTA,Utah,240:00,0.866,0.134,0.706,0.329,0.141,0.071,0.153,0.212,0.376,0.6,0.4,0.75,0.25,0.618,0.382
1,0020900059,1610612737,Hawks,ATL,Atlanta,240:00,0.813,0.188,0.66,0.144,0.155,0.186,0.186,0.072,0.515,0.531,0.469,0.8,0.2,0.568,0.432
0,0020900059,1610612757,Trail Blazers,POR,Portland,240:00,0.753,0.247,0.659,0.286,0.198,0.044,0.143,0.187,0.374,0.567,0.433,0.833,0.167,0.611,0.389
1,0020900060,1610612753,Magic,ORL,Orlando,240:00,0.739,0.261,0.557,0.115,0.295,0.131,0.148,0.205,0.443,0.471,0.529,0.833,0.167,0.565,0.435
0,0020900060,1610612756,Suns,PHX,Phoenix,240:00,0.75,0.25,0.66,0.22,0.21,0.1,0.13,0.15,0.44,0.455,0.545,0.857,0.143,0.525,0.475
0,0020900061,1610612761,Raptors,TOR,Toronto,240:00,0.684,0.316,0.455,0.145,0.218,0.082,0.327,0.155,0.309,0.52,0.48,0.875,0.125,0.606,0.394
1,0020900061,1610612765,Pistons,DET,Detroit,240:00,0.795,0.205,0.586,0.202,0.242,0.091,0.172,0.081,0.384,0.31,0.69,1.0,0.0,0.459,0.541
1,0020900062,1610612748,Heat,MIA,Miami,240:00,0.806,0.194,0.581,0.301,0.258,0.108,0.161,0.151,0.28,0.444,0.556,0.875,0.125,0.543,0.457
0,0020900062,1610612764,Wizards,WAS,Washington,240:00,0.805,0.195,0.584,0.157,0.169,0.045,0.247,0.213,0.427,0.5,0.5,0.4,0.6,0.484,0.516
1,0020900063,1610612743,Nuggets,DEN,Denver,240:00,0.783,0.217,0.557,0.213,0.246,0.254,0.197,0.156,0.344,0.559,0.441,0.6,0.4,0.568,0.432
0,0020900063,1610612751,Nets,NJN,New Jersey,240:00,0.837,0.163,0.702,0.106,0.064,0.128,0.234,0.191,0.596,0.333,0.667,0.5,0.5,0.343,0.657
0,0020900064,1610612752,Knicks,NYK,New York,240:00,0.698,0.302,0.607,0.157,0.236,0.022,0.157,0.191,0.449,0.481,0.519,1.0,0.0,0.588,0.412
1,0020900064,1610612754,Pacers,IND,Indiana,240:00,0.744,0.256,0.653,0.257,0.149,0.04,0.198,0.139,0.396,0.303,0.697,1.0,0.0,0.395,0.605
1,0020900065,1610612738,Celtics,BOS,Boston,240:00,0.771,0.229,0.696,0.196,0.163,0.141,0.141,0.185,0.5,0.563,0.438,1.0,0.0,0.622,0.378
0,0020900065,1610612750,Timberwolves,MIN,Minnesota,240:00,0.853,0.147,0.822,0.422,0.067,0.022,0.111,0.089,0.4,0.541,0.459,1.0,0.0,0.564,0.436
1,0020900066,1610612745,Rockets,HOU,Houston,265:00,0.721,0.279,0.627,0.098,0.206,0.108,0.167,0.069,0.529,0.438,0.563,0.714,0.286,0.487,0.513
0,0020900066,1610612747,Lakers,LAL,Los Angeles,265:00,0.839,0.161,0.66,0.194,0.146,0.058,0.194,0.214,0.466,0.353,0.647,0.8,0.2,0.41,0.59
0,0020900067,1610612740,Hornets,NOH,New Orleans,265:00,0.783,0.217,0.667,0.211,0.211,0.053,0.123,0.123,0.456,0.474,0.526,0.75,0.25,0.522,0.478
1,0020900067,1610612742,Mavericks,DAL,Dallas,265:00,0.694,0.306,0.523,0.206,0.308,0.047,0.168,0.206,0.318,0.321,0.679,0.909,0.091,0.487,0.513
1,0020900068,1610612737,Hawks,ATL,Atlanta,240:00,0.812,0.188,0.708,0.124,0.159,0.177,0.133,0.08,0.584,0.325,0.675,0.667,0.333,0.37,0.63
0,0020900068,1610612758,Kings,SAC,Sacramento,240:00,0.844,0.156,0.667,0.248,0.143,0.181,0.19,0.238,0.419,0.4,0.6,0.8,0.2,0.45,0.55
1,0020900069,1610612744,Warriors,GSW,Golden State,240:00,0.862,0.138,0.708,0.177,0.186,0.283,0.106,0.23,0.531,0.55,0.45,1.0,0.0,0.617,0.383
0,0020900069,1610612763,Grizzlies,MEM,Memphis,240:00,0.888,0.113,0.686,0.324,0.086,0.143,0.229,0.133,0.362,0.583,0.417,1.0,0.0,0.615,0.385
0,0020900070,1610612739,Cavaliers,CLE,Cleveland,240:00,0.778,0.222,0.612,0.188,0.247,0.153,0.141,0.118,0.424,0.577,0.423,0.857,0.143,0.636,0.364
1,0020900070,1610612741,Bulls,CHI,Chicago,240:00,0.886,0.114,0.767,0.326,0.105,0.198,0.128,0.14,0.442,0.606,0.394,1.0,0.0,0.639,0.361
1,0020900071,1610612759,Spurs,SAS,San Antonio,240:00,0.802,0.198,0.586,0.121,0.182,0.081,0.232,0.131,0.465,0.31,0.69,0.833,0.167,0.4,0.6
