GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
21700729,1610612751,Nets,BKN,Brooklyn,240:00,0.634,0.366,0.598,0.082,0.278,0.093,0.124,0.082,0.515,0.552,0.448,0.667,0.333,0.579,0.421
21700729,1610612750,Timberwolves,MIN,Minnesota,240:00,0.781,0.219,0.685,0.306,0.108,0.018,0.207,0.216,0.378,0.474,0.526,0.5,0.5,0.476,0.524
21700730,1610612742,Mavericks,DAL,Dallas,240:00,0.635,0.365,0.517,0.157,0.371,0.18,0.112,0.191,0.36,0.348,0.652,0.818,0.182,0.5,0.5
21700730,1610612743,Nuggets,DEN,Denver,240:00,0.593,0.407,0.484,0.176,0.396,0.132,0.121,0.154,0.308,0.591,0.409,0.833,0.167,0.676,0.324
21700731,1610612741,Bulls,CHI,Chicago,240:00,0.609,0.391,0.5,0.083,0.375,0.083,0.125,0.135,0.417,0.542,0.458,1.0,0.0,0.694,0.306
21700731,1610612749,Bucks,MIL,Milwaukee,240:00,0.636,0.364,0.509,0.218,0.355,0.136,0.136,0.145,0.291,0.536,0.464,1.0,0.0,0.683,0.317
21700732,1610612756,Suns,PHX,Phoenix,240:00,0.612,0.388,0.549,0.039,0.235,0.078,0.216,0.098,0.51,0.5,0.5,0.375,0.625,0.472,0.528
21700732,1610612745,Rockets,HOU,Houston,240:00,0.486,0.514,0.372,0.071,0.292,0.062,0.336,0.106,0.301,0.381,0.619,0.818,0.182,0.531,0.469
21700733,1610612740,Pelicans,NOP,New Orleans,240:00,0.588,0.412,0.563,0.117,0.262,0.194,0.175,0.126,0.447,0.483,0.517,1.0,0.0,0.605,0.395
21700733,1610612746,Clippers,LAC,LA,240:00,0.708,0.292,0.643,0.179,0.241,0.071,0.116,0.116,0.464,0.583,0.417,0.889,0.111,0.644,0.356
21700734,1610612739,Cavaliers,CLE,Cleveland,240:00,0.578,0.422,0.446,0.083,0.372,0.165,0.182,0.091,0.364,0.481,0.519,0.933,0.067,0.643,0.357
21700734,1610612765,Pistons,DET,Detroit,240:00,0.621,0.379,0.5,0.058,0.404,0.038,0.096,0.125,0.442,0.654,0.346,1.0,0.0,0.775,0.225
21700735,1610612761,Raptors,TOR,Toronto,240:00,0.663,0.337,0.553,0.049,0.293,0.13,0.154,0.073,0.504,0.412,0.588,0.75,0.25,0.5,0.5
21700735,1610612747,Lakers,LAL,Los Angeles,240:00,0.725,0.275,0.577,0.18,0.216,0.072,0.207,0.144,0.396,0.438,0.563,1.0,0.0,0.55,0.45
21700736,1610612760,Thunder,OKC,Oklahoma City,240:00,0.641,0.359,0.574,0.066,0.246,0.131,0.18,0.205,0.508,0.343,0.657,0.9,0.1,0.467,0.533
21700736,1610612755,76ers,PHI,Philadelphia,240:00,0.618,0.382,0.482,0.089,0.295,0.116,0.223,0.161,0.393,0.296,0.704,1.0,0.0,0.5,0.5
21700737,1610612759,Spurs,SAS,San Antonio,240:00,0.722,0.278,0.602,0.159,0.292,0.115,0.106,0.08,0.442,0.647,0.353,1.0,0.0,0.733,0.267
21700737,1610612758,Kings,SAC,Sacramento,240:00,0.585,0.415,0.347,0.143,0.551,0.122,0.102,0.133,0.204,0.471,0.529,0.722,0.278,0.6,0.4
21700738,1610612766,Hornets,CHA,Charlotte,240:00,0.627,0.373,0.583,0.146,0.281,0.146,0.135,0.125,0.438,0.393,0.607,0.778,0.222,0.486,0.514
21700738,1610612754,Pacers,IND,Indiana,240:00,0.747,0.253,0.743,0.229,0.171,0.21,0.086,0.171,0.514,0.564,0.436,1.0,0.0,0.622,0.378
21700739,1610612737,Hawks,ATL,Atlanta,240:00,0.57,0.43,0.495,0.095,0.371,0.152,0.133,0.171,0.4,0.577,0.423,0.923,0.077,0.692,0.308
21700739,1610612750,Timberwolves,MIN,Minnesota,240:00,0.771,0.229,0.64,0.2,0.21,0.11,0.15,0.24,0.44,0.563,0.438,0.857,0.143,0.615,0.385
21700740,1610612763,Grizzlies,MEM,Memphis,240:00,0.735,0.265,0.6,0.167,0.275,0.125,0.125,0.167,0.433,0.556,0.444,0.818,0.182,0.617,0.383
21700740,1610612756,Suns,PHX,Phoenix,240:00,0.72,0.28,0.569,0.11,0.193,0.266,0.239,0.193,0.459,0.452,0.548,0.857,0.143,0.526,0.474
21700741,1610612755,76ers,PHI,Philadelphia,240:00,0.683,0.317,0.716,0.084,0.063,0.116,0.221,0.095,0.632,0.588,0.412,1.0,0.0,0.611,0.389
21700741,1610612749,Bucks,MIL,Milwaukee,240:00,0.65,0.35,0.505,0.15,0.308,0.14,0.187,0.159,0.355,0.593,0.407,0.909,0.091,0.684,0.316
21700742,1610612748,Heat,MIA,Miami,240:00,0.587,0.413,0.463,0.063,0.379,0.084,0.158,0.147,0.4,0.5,0.5,1.0,0.0,0.676,0.324
21700742,1610612742,Mavericks,DAL,Dallas,240:00,0.663,0.337,0.568,0.227,0.273,0.193,0.159,0.205,0.341,0.52,0.48,0.875,0.125,0.606,0.394
21700743,1610612738,Celtics,BOS,Boston,240:00,0.604,0.396,0.468,0.108,0.459,0.126,0.072,0.099,0.36,0.5,0.5,0.882,0.118,0.651,0.349
21700743,1610612743,Nuggets,DEN,Denver,240:00,0.645,0.355,0.582,0.091,0.273,0.091,0.145,0.136,0.491,0.688,0.313,0.9,0.1,0.738,0.262
21700744,1610612760,Thunder,OKC,Oklahoma City,240:00,0.6,0.4,0.438,0.083,0.281,0.125,0.281,0.115,0.354,0.476,0.524,1.0,0.0,0.633,0.367
