,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
257,MIL,D.J. Wilson,22020,0022000402,2021-02-12,MIL @ UTA,0.0,2.3133333333333335,,,,0.0,,,,,0.264,0.667,0.0,0.0,0.222,0.444,0.0,0.286,25
258,DAL,P.J. Washington,42023,0042300404,2024-06-14,DAL vs. BOS,13.75,37.75166666666667,0.75,0.167,33.3,0.0,0.438,0.208,0.137,0.083,0.48390000000000005,0.2759,8.650000000000002,0.0475,0.5321,0.22290000000000001,0.1072,0.2173,20
259,CLE,Jawad Williams,22010,0021000394,2010-12-18,CLE vs. NYK,13.066666666666666,15.729999999999999,0.0,,0.0,0.0,,,,,0.307,,5.7555555555555555,0.0111,,,,,26
260,TOR,Terrence Ross,42013,0041300126,2014-05-02,TOR @ BKN,22.883333333333333,20.916666666666668,0.333,,0.0,0.0,,,,,0.2638,,17.14,0.008400000000000001,,,,,5
261,LAC,Kobe Brown,22023,0022300505,2024-01-07,LAC @ LAL,0.0,8.850000000000001,,,,0.0,,,,,0.47287500000000005,0.168125,15.625,0.0,0.583125,0.271,0.07500000000000001,0.231375,32
262,ATL,Joe Johnson,22011,0021100646,2012-03-16,ATL vs. WAS,36.6,35.76166666666667,0.789,,7.1,0.059,,,,,0.4654000000000001,,10.3,0.0115,,,,,37
263,DEN,Jordan Hamilton,22011,0021100468,2012-02-19,DEN @ OKC,4.1,3.0516666666666667,0.5,,0.0,0.2,,,,,0.7,,20.56,0.025,,,,,16
264,DEN,Wilson Chandler,22013,0021300880,2014-03-01,DEN @ POR,34.43333333333333,28.01333333333334,0.417,,5.3,0.0,,,,,0.5025555555555556,,7.288888888888888,0.036199999999999996,,,,,52
265,CHI,Cristiano Felicio,22018,0021800373,2018-12-07,CHI vs. OKC,0.0,4.37,,,,0.0,,,,,0.33342857142857146,0.5497142857142857,15.471428571428572,0.0378,0.5547142857142857,0.26742857142857146,0.11542857142857141,0.251,24
266,LAC,Ronny Turiaf,22012,0021200451,2012-12-30,LAC vs. UTA,15.066666666666666,14.59,0.25,,0.0,0.105,,,,,0.5583,,9.67,0.06699999999999999,,,,,30
267,CHA,Terry Rozier,22022,0022200898,2023-02-24,CHA @ MIN,32.86666666666667,31.686666666666667,0.2,0.227,5.3,0.0,0.522,0.159,0.105,0.162,0.5273333333333333,0.27566666666666667,4.655555555555555,0.022099999999999998,0.5662222222222222,0.24211111111111114,0.12399999999999999,0.2725555555555556,51
268,MIL,DeAndre Liggins,22017,0021700044,2017-10-23,MIL vs. CHA,20.583333333333332,18.4,0.625,0.226,28.6,0.0,0.473,0.324,0.097,0.25,0.0,0.387,33.3,0.0,0.379,0.364,0.161,0.368,1
269,MEM,Sean McDermott,22020,0022000193,2021-01-16,MEM vs. PHI,0.0,4.15,,,,0.0,,,,,0.25,0.10966666666666668,15.266666666666666,0.006500000000000001,0.3793333333333333,0.11766666666666666,0.09600000000000002,0.14533333333333334,11
270,TOR,Jakob Poeltl,22016,0021600452,2016-12-23,TOR @ UTA,0.0,2.9699999999999998,,,,0.0,,,,,0.25,0.18380000000000002,0.0,0.0819,0.5356,0.2828,0.20120000000000005,0.1,28
