,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
29212,Anthony Davis,35,26,2,0,0,12,0,0.6,1.0,1
29213,Austin Reaves,33,12,5,2,1,2,2,0.429,,0
29214,Max Christie,10,0,0,0,0,0,0,0.0,,0
29215,Jarred Vanderbilt,25,12,2,3,1,9,0,0.4,1.0,0
29216,Cam Reddish,16,9,1,1,3,0,2,0.8,0.25,0
29217,Christian Wood,13,6,3,0,0,7,0,1.0,0.4,0
29218,Maxwell Lewis,0,2,0,0,0,0,0,1.0,,0
29219,Jalen Hood-Schifino,0,0,0,0,0,0,0,0.0,,0
29220,Bojan Bogdanovic,33,34,4,0,0,4,5,0.63,0.833,0
29221,Isaiah Stewart,33,11,2,1,0,8,1,0.563,0.5,0
29222,Jalen Duren,21,14,2,0,0,8,0,0.778,0.0,0
29223,Jaden Ivey,21,9,2,1,0,1,1,0.45,,0
29224,Killian Hayes,26,6,8,0,0,7,1,0.833,0.333,0
29225,Mike Muscala,13,5,1,0,0,5,1,0.5,,0
29226,Kevin Knox II,12,0,0,0,0,4,0,0.0,,0
29227,Alec Burks,25,15,1,0,0,0,4,0.545,0.75,0
29228,Ausar Thompson,26,7,1,2,0,2,0,0.75,0.5,0
29229,Marcus Sasser,12,5,2,0,0,2,1,0.5,,0
29230,Joe Harris,0,0,0,0,0,0,0,,,0
29231,James Wiseman,0,0,0,0,0,0,0,,,0
29232,Cody Martin,24,5,3,1,0,3,0,0.25,0.75,0
29233,Miles Bridges,40,20,2,2,0,10,3,0.405,0.75,1
29234,Brandon Miller,38,23,4,0,1,7,5,0.618,0.667,0
29235,P.J. Washington,28,12,5,1,1,6,4,1.0,,0
29236,Ish Smith,12,2,5,0,1,4,0,1.0,,0
29237,Frank Ntilikina,8,0,0,0,0,0,0,0.0,,0
29238,Nathan Mensah,7,0,0,0,1,2,0,0.0,,0
29239,Nick Smith Jr.,16,3,1,0,0,0,1,0.75,,0
29240,Leaky Black,3,3,0,0,0,2,1,1.5,,0
29241,James Bouknight,0,0,0,0,0,0,0,,,0
29242,Bryce McGowens,0,0,0,0,0,0,0,,,0
29243,JT Thor,0,0,0,0,0,0,0,,,0
29244,Jaden McDaniels,30,13,0,2,0,5,1,0.5,1.0,0
29245,Karl-Anthony Towns,34,27,3,0,1,6,2,0.5,1.0,0
29246,Rudy Gobert,34,19,1,0,4,16,0,0.636,0.833,1
29247,Nickeil Alexander-Walker,30,6,5,1,0,5,1,0.625,0.5,0
29248,Kyle Anderson,21,3,5,0,0,5,0,0.25,0.5,0
29249,Naz Reid,20,5,2,1,1,3,1,0.278,,0
29250,Shake Milton,18,2,3,1,1,3,0,0.2,,0
29251,Luka Garza,0,0,0,0,0,0,0,0.0,,0
29252,Wendell Moore Jr.,0,0,0,1,0,0,0,0.0,,0
29253,Troy Brown Jr.,0,0,0,0,0,0,0,,,0
29254,Deni Avdija,37,24,6,0,0,6,4,0.75,1.0,0
29255,Daniel Gafford,21,10,1,1,2,4,0,1.0,,0
29256,Jordan Poole,28,7,3,0,0,2,1,0.227,1.0,0
29257,Tyus Jones,32,5,6,0,0,2,0,0.286,0.5,0
29258,Bilal Coulibaly,20,4,1,0,0,0,0,0.286,,0
29259,Corey Kispert,16,7,0,0,0,4,0,0.5,1.0,0
29260,Delon Wright,8,4,3,0,0,0,0,0.333,,0
29261,Landry Shamet,12,9,2,0,0,1,1,0.5,1.0,0
29262,Patrick Baldwin Jr.,0,3,0,0,0,1,1,1.5,,0
29263,Anthony Gill,0,0,1,0,0,0,0,0.0,,0
29264,Jimmy Butler,34,15,3,2,0,4,1,0.45,0.75,0
29265,Haywood Highsmith,24,8,1,2,1,4,2,0.667,,0
29266,Bam Adebayo,39,15,6,1,6,15,0,0.308,0.636,1
29267,Josh Richardson,18,9,2,0,1,3,1,0.643,,0
29268,Tyler Herro,37,18,3,0,0,6,2,0.6,,0
29269,Terry Rozier,29,9,5,2,0,4,1,0.318,1.0,0
29270,Caleb Martin,28,15,1,2,1,4,3,0.688,1.0,0
29271,Duncan Robinson,15,7,0,0,0,3,1,0.389,,0
29272,Thomas Bryant,6,0,0,0,0,0,0,0.0,,0
29273,R.J. Hampton,0,0,0,0,0,0,0,,,0
29274,Nikola Jovic,0,0,0,0,0,0,0,,,0
29275,Orlando Robinson,0,0,0,0,0,0,0,,,0
29276,Vince Williams Jr.,32,25,4,1,0,5,5,1.05,1.0,0
