,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1,0022000070,1610612738,Celtics,BOS,Boston,240:00,0.518,0.169,0.204,0.149,0.472,0.227,0.191,0.278
0,0022000070,1610612765,Pistons,DET,Detroit,240:00,0.472,0.227,0.191,0.222,0.518,0.169,0.204,0.213
1,0022000071,1610612742,Mavericks,DAL,Dallas,240:00,0.487,0.295,0.168,0.082,0.417,0.321,0.16,0.167
0,0022000071,1610612748,Heat,MIA,Miami,240:00,0.417,0.321,0.16,0.093,0.487,0.295,0.168,0.224
1,0022000072,1610612737,Hawks,ATL,Atlanta,240:00,0.548,0.151,0.11,0.196,0.448,0.267,0.148,0.283
0,0022000072,1610612751,Nets,BKN,Brooklyn,240:00,0.448,0.267,0.148,0.189,0.548,0.151,0.11,0.255
1,0022000073,1610612741,Bulls,CHI,Chicago,240:00,0.471,0.23,0.19,0.115,0.624,0.353,0.154,0.156
0,0022000073,1610612749,Bucks,MIL,Milwaukee,240:00,0.624,0.353,0.154,0.111,0.471,0.23,0.19,0.173
1,0022000074,1610612750,Timberwolves,MIN,Minnesota,240:00,0.551,0.239,0.188,0.216,0.64,0.236,0.151,0.233
0,0022000074,1610612764,Wizards,WAS,Washington,240:00,0.64,0.236,0.151,0.186,0.551,0.239,0.188,0.255
1,0022000075,1610612747,Lakers,LAL,Los Angeles,240:00,0.475,0.158,0.124,0.258,0.5,0.306,0.128,0.192
0,0022000075,1610612759,Spurs,SAS,San Antonio,240:00,0.5,0.306,0.128,0.154,0.475,0.158,0.124,0.371
1,0022000076,1610612743,Nuggets,DEN,Denver,240:00,0.523,0.186,0.124,0.17,0.572,0.276,0.18,0.268
0,0022000076,1610612756,Suns,PHX,Phoenix,240:00,0.572,0.276,0.18,0.195,0.523,0.186,0.124,0.298
1,0022000077,1610612746,Clippers,LAC,LA,240:00,0.465,0.282,0.107,0.226,0.545,0.157,0.146,0.365
0,0022000077,1610612762,Jazz,UTA,Utah,240:00,0.545,0.157,0.146,0.25,0.465,0.282,0.107,0.302
1,0022000078,1610612744,Warriors,GSW,Golden State,240:00,0.437,0.418,0.142,0.06,0.543,0.326,0.093,0.236
0,0022000078,1610612757,Trail Blazers,POR,Portland,240:00,0.543,0.326,0.093,0.145,0.437,0.418,0.142,0.14
1,0022000079,1610612745,Rockets,HOU,Houston,240:00,0.525,0.284,0.141,0.13,0.439,0.233,0.15,0.283
0,0022000079,1610612758,Kings,SAC,Sacramento,240:00,0.439,0.233,0.15,0.233,0.525,0.284,0.141,0.217
0,0022000080,1610612752,Knicks,NYK,New York,240:00,0.578,0.157,0.169,0.238,0.518,0.214,0.094,0.154
1,0022000080,1610612754,Pacers,IND,Indiana,240:00,0.518,0.214,0.094,0.096,0.578,0.157,0.169,0.333
0,0022000081,1610612753,Magic,ORL,Orlando,240:00,0.417,0.111,0.058,0.217,0.517,0.244,0.119,0.163
1,0022000081,1610612760,Thunder,OKC,Oklahoma City,240:00,0.517,0.244,0.119,0.122,0.417,0.111,0.058,0.275
0,0022000082,1610612755,76ers,PHI,Philadelphia,240:00,0.696,0.304,0.21,0.2,0.484,0.283,0.118,0.273
1,0022000082,1610612766,Hornets,CHA,Charlotte,240:00,0.484,0.283,0.118,0.255,0.696,0.304,0.21,0.257
1,0022000083,1610612737,Hawks,ATL,Atlanta,240:00,0.476,0.224,0.219,0.268,0.456,0.187,0.152,0.304
0,0022000083,1610612739,Cavaliers,CLE,Cleveland,240:00,0.456,0.187,0.152,0.268,0.476,0.224,0.219,0.357
1,0022000084,1610612740,Pelicans,NOP,New Orleans,240:00,0.506,0.566,0.127,0.275,0.495,0.297,0.097,0.278
0,0022000084,1610612761,Raptors,TOR,Toronto,240:00,0.495,0.297,0.097,0.185,0.506,0.566,0.127,0.373
1,0022000085,1610612738,Celtics,BOS,Boston,240:00,0.649,0.149,0.182,0.286,0.57,0.291,0.101,0.319
0,0022000085,1610612765,Pistons,DET,Detroit,240:00,0.57,0.291,0.101,0.17,0.649,0.149,0.182,0.381
1,0022000086,1610612751,Nets,BKN,Brooklyn,240:00,0.58,0.383,0.186,0.163,0.471,0.327,0.062,0.288
0,0022000086,1610612764,Wizards,WAS,Washington,240:00,0.471,0.327,0.062,0.197,0.58,0.383,0.186,0.163
1,0022000087,1610612747,Lakers,LAL,Los Angeles,240:00,0.528,0.213,0.105,0.235,0.458,0.084,0.133,0.316
0,0022000087,1610612763,Grizzlies,MEM,Memphis,240:00,0.458,0.084,0.133,0.246,0.528,0.213,0.105,0.275
1,0022000088,1610612743,Nuggets,DEN,Denver,240:00,0.592,0.228,0.145,0.255,0.576,0.188,0.144,0.25
0,0022000088,1610612750,Timberwolves,MIN,Minnesota,240:00,0.576,0.188,0.144,0.205,0.592,0.228,0.145,0.431
1,0022000089,1610612759,Spurs,SAS,San Antonio,240:00,0.448,0.2,0.065,0.219,0.669,0.213,0.185,0.295
0,0022000089,1610612762,Jazz,UTA,Utah,240:00,0.669,0.213,0.185,0.205,0.448,0.2,0.065,0.234
1,0022000090,1610612741,Bulls,CHI,Chicago,240:00,0.535,0.353,0.155,0.229,0.5,0.303,0.143,0.304
0,0022000090,1610612742,Mavericks,DAL,Dallas,240:00,0.5,0.303,0.143,0.196,0.535,0.353,0.155,0.292
1,0022000091,1610612746,Clippers,LAC,LA,240:00,0.584,0.229,0.107,0.182,0.56,0.373,0.148,0.25
0,0022000091,1610612756,Suns,PHX,Phoenix,240:00,0.56,0.373,0.148,0.175,0.584,0.229,0.107,0.25
1,0022000092,1610612744,Warriors,GSW,Golden State,240:00,0.631,0.386,0.14,0.256,0.49,0.337,0.107,0.3
0,0022000092,1610612757,Trail Blazers,POR,Portland,240:00,0.49,0.337,0.107,0.2,0.631,0.386,0.14,0.326
1,0022000093,1610612739,Cavaliers,CLE,Cleveland,240:00,0.447,0.141,0.164,0.167,0.517,0.148,0.217,0.44
0,0022000093,1610612753,Magic,ORL,Orlando,240:00,0.517,0.148,0.217,0.36,0.447,0.141,0.164,0.278
0,0022000094,1610612755,76ers,PHI,Philadelphia,240:00,0.542,0.242,0.099,0.259,0.494,0.256,0.162,0.222
1,0022000094,1610612766,Hornets,CHA,Charlotte,240:00,0.494,0.256,0.162,0.148,0.542,0.242,0.099,0.259
1,0022000095,1610612737,Hawks,ATL,Atlanta,240:00,0.517,0.264,0.13,0.204,0.547,0.294,0.158,0.318
0,0022000095,1610612752,Knicks,NYK,New York,240:00,0.547,0.294,0.158,0.25,0.517,0.264,0.13,0.265
1,0022000096,1610612748,Heat,MIA,Miami,240:00,0.667,0.222,0.159,0.1,0.449,0.342,0.175,0.182
0,0022000096,1610612760,Thunder,OKC,Oklahoma City,240:00,0.449,0.342,0.175,0.109,0.667,0.222,0.159,0.175
1,0022000097,1610612738,Celtics,BOS,Boston,240:00,0.577,0.405,0.187,0.267,0.472,0.422,0.092,0.217
0,0022000097,1610612761,Raptors,TOR,Toronto,240:00,0.472,0.422,0.092,0.133,0.577,0.405,0.187,0.333
1,0022000098,1610612742,Mavericks,DAL,Dallas,240:00,0.573,0.244,0.182,0.233,0.461,0.468,0.123,0.176
0,0022000098,1610612745,Rockets,HOU,Houston,240:00,0.461,0.468,0.123,0.137,0.573,0.244,0.182,0.326
0,0022000099,1610612749,Bucks,MIL,Milwaukee,240:00,0.659,0.188,0.183,0.184,0.526,0.122,0.085,0.2
1,0022000099,1610612765,Pistons,DET,Detroit,240:00,0.526,0.122,0.085,0.109,0.659,0.188,0.183,0.289
0,0022000100,1610612740,Pelicans,NOP,New Orleans,265:00,0.48,0.238,0.159,0.267,0.586,0.14,0.13,0.12
1,0022000100,1610612754,Pacers,IND,Indiana,265:00,0.586,0.14,0.13,0.1,0.48,0.238,0.159,0.35
1,0022000101,1610612744,Warriors,GSW,Golden State,240:00,0.644,0.144,0.099,0.064,0.433,0.433,0.135,0.242
