GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21901275,1610612760,Thunder,OKC,Oklahoma City,240:00,0.418,0.155,0.098,0.188,0.62,0.241,0.2,0.342
21901275,1610612763,Grizzlies,MEM,Memphis,240:00,0.62,0.241,0.2,0.316,0.418,0.155,0.098,0.25
21901276,1610612751,Nets,BKN,Brooklyn,240:00,0.587,0.326,0.108,0.14,0.494,0.27,0.148,0.278
21901276,1610612758,Kings,SAC,Sacramento,240:00,0.494,0.27,0.148,0.241,0.587,0.326,0.108,0.2
21901277,1610612753,Magic,ORL,Orlando,240:00,0.466,0.284,0.11,0.192,0.452,0.355,0.089,0.355
21901277,1610612755,76ers,PHI,Philadelphia,240:00,0.452,0.355,0.089,0.242,0.466,0.284,0.11,0.269
21901278,1610612740,Pelicans,NOP,New Orleans,240:00,0.545,0.295,0.184,0.22,0.478,0.256,0.151,0.269
21901278,1610612764,Wizards,WAS,Washington,240:00,0.478,0.256,0.151,0.192,0.545,0.295,0.184,0.34
21901279,1610612738,Celtics,BOS,Boston,240:00,0.573,0.167,0.138,0.176,0.483,0.191,0.171,0.185
21901279,1610612761,Raptors,TOR,Toronto,240:00,0.483,0.191,0.171,0.167,0.573,0.167,0.138,0.235
21901280,1610612746,Clippers,LAC,LA,240:00,0.582,0.329,0.137,0.191,0.583,0.189,0.111,0.208
21901280,1610612757,Trail Blazers,POR,Portland,240:00,0.583,0.189,0.111,0.188,0.582,0.329,0.137,0.277
21901281,1610612743,Nuggets,DEN,Denver,290:00,0.514,0.278,0.092,0.2,0.552,0.21,0.187,0.306
21901281,1610612762,Jazz,UTA,Utah,290:00,0.552,0.21,0.187,0.242,0.514,0.278,0.092,0.233
21901282,1610612747,Lakers,LAL,Los Angeles,240:00,0.485,0.19,0.138,0.25,0.613,0.167,0.194,0.25
21901282,1610612754,Pacers,IND,Indiana,240:00,0.613,0.167,0.194,0.175,0.485,0.19,0.138,0.383
21901283,1610612748,Heat,MIA,Miami,240:00,0.554,0.262,0.117,0.065,0.543,0.217,0.11,0.271
21901283,1610612756,Suns,PHX,Phoenix,240:00,0.543,0.217,0.11,0.25,0.554,0.262,0.117,0.13
21901284,1610612742,Mavericks,DAL,Dallas,265:00,0.491,0.217,0.057,0.164,0.551,0.343,0.11,0.2
21901284,1610612749,Bucks,MIL,Milwaukee,265:00,0.551,0.343,0.11,0.164,0.491,0.217,0.057,0.299
21901285,1610612760,Thunder,OKC,Oklahoma City,240:00,0.619,0.262,0.123,0.19,0.462,0.239,0.153,0.351
21901285,1610612764,Wizards,WAS,Washington,240:00,0.462,0.239,0.153,0.228,0.619,0.262,0.123,0.214
21901286,1610612761,Raptors,TOR,Toronto,240:00,0.585,0.465,0.244,0.122,0.484,0.176,0.2,0.263
21901286,1610612763,Grizzlies,MEM,Memphis,240:00,0.484,0.176,0.2,0.175,0.585,0.465,0.244,0.146
21901287,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.229,0.182,0.286,0.511,0.36,0.162,0.347
21901287,1610612759,Spurs,SAS,San Antonio,240:00,0.511,0.36,0.162,0.306,0.5,0.229,0.182,0.339
21901288,1610612738,Celtics,BOS,Boston,265:00,0.5,0.235,0.115,0.22,0.475,0.255,0.121,0.317
21901288,1610612753,Magic,ORL,Orlando,265:00,0.475,0.255,0.121,0.19,0.5,0.235,0.115,0.271
21901289,1610612755,76ers,PHI,Philadelphia,240:00,0.557,0.175,0.142,0.264,0.533,0.319,0.094,0.24
21901289,1610612757,Trail Blazers,POR,Portland,240:00,0.533,0.319,0.094,0.14,0.557,0.175,0.142,0.34
21901290,1610612745,Rockets,HOU,Houston,240:00,0.571,0.33,0.135,0.157,0.529,0.264,0.163,0.128
21901290,1610612758,Kings,SAC,Sacramento,240:00,0.529,0.264,0.163,0.106,0.571,0.33,0.135,0.216
21901291,1610612746,Clippers,LAC,LA,240:00,0.554,0.215,0.098,0.2,0.671,0.224,0.158,0.268
21901291,1610612751,Nets,BKN,Brooklyn,240:00,0.671,0.224,0.158,0.195,0.554,0.215,0.098,0.22
21901292,1610612756,Suns,PHX,Phoenix,240:00,0.567,0.326,0.182,0.25,0.461,0.233,0.172,0.207
21901292,1610612760,Thunder,OKC,Oklahoma City,240:00,0.461,0.233,0.172,0.138,0.567,0.326,0.182,0.292
21901293,1610612742,Mavericks,DAL,Dallas,240:00,0.635,0.188,0.083,0.105,0.604,0.244,0.131,0.273
21901293,1610612762,Jazz,UTA,Utah,240:00,0.604,0.244,0.131,0.25,0.635,0.188,0.083,0.237
21901294,1610612749,Bucks,MIL,Milwaukee,240:00,0.476,0.417,0.177,0.196,0.495,0.268,0.132,0.305
21901294,1610612761,Raptors,TOR,Toronto,240:00,0.495,0.268,0.132,0.271,0.476,0.417,0.177,0.268
21901295,1610612748,Heat,MIA,Miami,240:00,0.515,0.194,0.13,0.224,0.452,0.298,0.16,0.179
21901295,1610612754,Pacers,IND,Indiana,240:00,0.452,0.298,0.16,0.107,0.515,0.194,0.13,0.328
21901296,1610612743,Nuggets,DEN,Denver,240:00,0.669,0.299,0.154,0.286,0.63,0.395,0.11,0.381
21901296,1610612747,Lakers,LAL,Los Angeles,240:00,0.63,0.395,0.11,0.333,0.669,0.299,0.154,0.4
21901297,1610612751,Nets,BKN,Brooklyn,240:00,0.5,0.27,0.141,0.151,0.428,0.349,0.169,0.264
21901297,1610612753,Magic,ORL,Orlando,240:00,0.428,0.349,0.169,0.226,0.5,0.27,0.141,0.245
21901298,1610612745,Rockets,HOU,Houston,240:00,0.483,0.236,0.16,0.073,0.565,0.215,0.192,0.245
21901298,1610612759,Spurs,SAS,San Antonio,240:00,0.565,0.215,0.192,0.184,0.483,0.236,0.16,0.091
21901299,1610612755,76ers,PHI,Philadelphia,240:00,0.575,0.151,0.093,0.216,0.618,0.236,0.074,0.366
